name,industry,headquarter,company_type,foundation_date,founders,market_cap,rank,number_of_employees,website,facebook,twitter,instagram,pinterest,telephone,ceo,company_status,revenue,investors,total_assets_in_usd,total_liabilities_in_usd,total_equity_in_usd,annual_net_income_in_usd,annual_results_for_year_ending
Oracle,,"Redwood City, CA, United States",,,,$228.18 Billion,,"132,000",https://disfold.com/company/oracle-corporation/,,,,,,Ms. Safra Ada Catz,,,,,,,,
PepsiCo,,"Purchase, NY, United States",,,,$241.05 Billion,,"309,000",https://disfold.com/company/pepsico-inc/,,,,,,Mr. Ramon Luis Laguarta,,,,,,,,
Divido Financial Services,Fintech,UK,,2015,,,,62,https://www.divido.com,,,,,,,,"2,925,893",,,,,,
Nanofilm Technologies International,Technology,Singapore,,1999,,,,"3,188",https://www.nti-nanofilm.com/,,,,,,,,158.25,,,,,,
BITTNET,Management Consulting,Romania,,2007,,,,120,https://www.bittnet.ro/,,,,,,,,"22,436,395",,,,,,
Bittnet Systems,Technology,Romania,,2007,,,,60,https://www.bittnet.ro/,,,,,,,,10.99,,,,,,
Divido,Fintech,UK,,2014,,,,46,https://www.divido.com/,,,,,,,,"3,786,036",,,,,,
Deutsche Bank Spa,"Finance, Insurance, and Real Estate, National commercial bank (6021)","PIAZZA DEL CALENDARIO 3, MILANO, 20126, MILANO, ITALY",Corporation,1917,,,,,,,,,,,,,,,,,,,
China Construction Bank,,China,,,,$181.32 B,,,,,,,,,,,$202.07 B,,"$4,746.95 B",,,,
Microsoft,,United States,,,,"$2,054.37 B",,,,,,,,,,,$184.9 B,,$340.39 B,,,,
AT&T,,United States,,,,$141.79 B,,,,,,,,,,,$163.03 B,,$551.62 B,,,,
Chevron,,United States,,,,$316.23 B,,,,,,,,,,,$156.29 B,,$239.53 B,,,,
Procter & Gamble,,United States,,,,$386.53 B,,,,,,,,,,,$79.62 B,,$120.22 B,,,,
PepsiCo,,United States,,,,$238.13 B,,,,,,,,,,,$79.47 B,,$92.38 B,,,,
Walt Disney,,United States,,,,$215.33 B,,,,,,,,,,,$72.98 B,,$203.31 B,,,,
IBM,,United States,,,,$124.33 B,,,,,,,,,,,$67.25 B,,$133.28 B,,,,
Oracle,,United States,,,,$203.34 B,,,,,,,,,,,$41.83 B,,$108.64 B,,,,
Truist Financial,,United States,,,,$67.64 B,,,,,,,,,,,$23.19 B,,$544.34 B,,,,
General Dynamics,,United States,,,,$66.42 B,,,,,,,,,,,$38.47 B,,$50.07 B,,,,
HP,,United States,,,,$38.75 B,,,,,,,,,,,$64.98 B,,$38.91 B,,,,
Xiaomi,,China,,,,$37.03 B,,,,,,,,,,,$50.91 B,,$45.96 B,,,,
Texas Instruments,,United States,,,,$159.94 B,,,,,,,,,,,$18.34 B,,$24.68 B,,,,
Kraft Heinz Company,,United States,,,,$52.89 B,,,,,,,,,,,$26.04 B,,$93.39 B,,,,
Japan Tobacco,,Japan,,,,$30.53 B,,,,,,,,,,,$21.16 B,,$50.14 B,,,,
Swiss Life Holding,,Switzerland,,,,$19.73 B,,,,,,,,,,,$23.54 B,,$264.11 B,,,,
Philips,,Netherlands,,,,$26.39 B,,,,,,,,,,,$20.28 B,,$35.45 B,,,,
Kinder Morgan,,United States,,,,$43.42 B,,,,,,,,,,,$16.61 B,,$69.14 B,,,,
New China Life Insurance,,China,,,,$8.91 B,,,,,,,,,,,$34.44 B,,$176.36 B,,,,
Nintendo,,Japan,,,,$58.01 B,,,,,,,,,,,$15.24 B,,$21.77 B,,,,
Hana Financial Group,,South Korea,,,,$11.47 B,,,,,,,,,,,$13.75 B,,$422.67 B,,,,
Hyundai Mobis,,South Korea,,,,$15.65 B,,,,,,,,,,,$36.42 B,,$43.31 B,,,,
Muyuan Foodstuff,,China,,,,$44.12 B,,,,,,,,,,,$11.27 B,,$26.18 B,,,,
Infineon Technologies,,Germany,,,,$39.15 B,,,,,,,,,,,$13.7 B,,$27.29 B,,,,
Warner Bros. Discovery,,United States,,,,$49.91 B,,,,,,,,,,,$12.18 B,,$34.43 B,,,,
Safran,,France,,,,$52.26 B,,,,,,,,,,,$17.89 B,,$47.44 B,,,,
Saudi Arabian Mining,,Saudi Arabia,,,,$44.95 B,,,,,,,,,,,$7.14 B,,$27.52 B,,,,
Korea Gas,,South Korea,,,,$2.81 B,,,,,,,,,,,$24.03 B,,$36.74 B,,,,
Reinsurance Group of America,,United States,,,,$7.59 B,,,,,,,,,,,$16.65 B,,$89.59 B,,,,
Union Bank of India,,India,,,,$3.62 B,,,,,,,,,,,$11.28 B,,$148.94 B,,,,
Ashtead Group,,United Kingdom,,,,$26.45 B,,,,,,,,,,,$7.65 B,,$14.78 B,,,,
Monster Beverage,,United States,,,,$45.34 B,,,,,,,,,,,$5.54 B,,$7.86 B,,,,
Extra Space Storage,,United States,,,,$28.54 B,,,,,,,,,,,$1.61 B,,$10.47 B,,,,
Spotify Technology,,Luxembourg,,,,$20.85 B,,,,,,,,,,,$11.42 B,,$8.15 B,,,,
China Eastern Airlines,,China,,,,$6.3 B,,,,,,,,,,,$10.41 B,,$45.31 B,,,,
Nu Holdings,,Cayman Islands,,,,$30.79 B,,,,,,,,,,,$1.4 B,,$19.86 B,,,,
Workday,,United States,,,,$51.74 B,,,,,,,,,,,$5.15 B,,$10.5 B,,,,
Castellum,,Sweden,,,,$6.95 B,,,,,,,,,,,$738 M,,$19.62 B,,,,
Twitter,,United States,,,,$39.17 B,,,,,,,,,,,$5.08 B,,$14.06 B,,,,
Booz Allen Hamilton Holding,,United States,,,,$11.73 B,,,,,,,,,,,$8.11 B,,$5.94 B,,,,
Christian Dior SE,"Consumer goods, Clothing & accessories",Paris,,1946,,,,,,,,,,,,,,,,,,,
LVMH,"Consumer goods, Clothing & accessories",Paris,,1987,,,,,,,,,,,,,,,,,,,
Safran,"Industrials, Aerospace",Paris,,2005,,,,,,,,,,,,,,,,,,,
BMW,"Consumer goods, Automobiles",Munich,,1916,,,,,,,,,,,,,,,,,,,
Infineon Technologies,"Technology, Semiconductors",Neubiberg,,1999,,,,,,,,,,,,,,,,,,,
Jil Sander,"Consumer goods, Clothing & accessories",Hamburg,,1968,,,,,,,,,,,,,,,,,,,
C&C Group,"Consumer goods, Brewers",Dublin,,1852,,,,,,,,,,,,,,,,,,,
Edison,"Utilities, Multiutilities",Milan,,1884,,,,,,,,,,,,,,,,,,,
Prada,"Consumer goods, Clothing & accessories",Milan,,1913,,,,,,,,,,,,,,,,,,,
Philips,"Consumer goods, Consumer electronics",Eindhoven,,1891,,,,,,,,,,,,,,,,,,,
H&M,"Consumer services, Apparel retailers",Stockholm,,1947,,,,,,,,,,,,,,,,,,,
Getac Holdings Corp,Technology and Communications,"Taiwan, 4th Floor, No. 1, R&D 2nd Road, Science Based Industrial Park, Baoshan, 300",,,,$897.7M,,"11,500",www.getac.com.tw,,,,,886 2 27857888,,,$1.1B,,,,,,
Service Stream Ltd,Technology and Communications,"Australia, L 4 357 Collins St, Melbourne, Victoria, 3000",,,,$281.9M,,"4,500",www.servicestream.com.au,,,,,61 3 96778888,,,$1.1B,,,,,,
Alkermes Plc,Pharmaceuticals and Healthcare,"Ireland, Connaught Hse, 1 Burlington Road, Dublin, 00000",,,,$4.5B,,"2,211",www.alkermes.com,,,,,353 1 7728000,,,$1.2B,,,,,,
Fox Factory Holding Corp,Automotive,"United States of America, 2055 Sugarloaf Circle, Suite 300, Duluth, Georgia, 30097",,,,$4.5B,,"4,200",investor.ridefox.com,,,,,1 831 2746500,,,$1.3B,,,,,,
Elite Material Co Ltd,Technology and Communications,"Taiwan, No. 18, Ta-Tung First Road, Kuan-Yin Industrial District, Taoyuan, 328",,,,$2.0B,,"2,098",www.emctw.com,,,,,886 3 4837937,,,$1.4B,,,,,,
Landis+Gyr Group AG,Power,"Switzerland, Alte Steinhauserstrasse 18, Cham, 6330",,,,$2.3B,,"6,445",www.landisgyr.de,,,,,41 41 9356000,,,$1.5B,,,,,,
Extra Space Storage Inc,Construction,"United States of America, 2795 Cottonwood Parkway, Suite 400, Salt Lake City, Utah, 84121",,,,$20.2B,,"4,309",www.extraspace.com,,,,,1 801 5625556,,,$1.6B,,,,,,
GC Corp,Pharmaceuticals and Healthcare,"South Korea, 107, Ihyeon-Ro 30beon-Gil, Giheung-Gu, Yongin, 16924",,,,$654.1M,,170,www.greencross.com,,,,,82 31 2609300,,,$1.6B,,,,,,
North China Pharmaceutical Co Ltd,Pharmaceuticals and Healthcare,"China, No. 388, Heping East Road, Shijiazhuang, Hebei, 050015",,,,$1.6B,,"11,501",www.ncpc.com,,,,,86 311 85992839,,,$1.6B,,,,,,
C&C Group plc,Consumer Packaged Goods,"Ireland, Bulmers House, Keeper Road, Dublin, D12K702",,,,$800.1M,,"2,822",candcgroupplc.com,,,,,353 1 5063900,,,$1.7B,,,,,,
Molnlycke Health Care AB,Medical Equipment,"Sweden, Gamlestadsvaegen 3C, Gothenburg, Vastra Gotaland, 41502",,,,,,"8,000",www.molnlycke.com,,,,,46 31 7223000,,,$2.0B,,,,,,
Arch Resources Inc,Metals and Mining,"United States of America, 1 Cityplace Drive, Suite 300, St. Louis, Missouri, 63141",,,,$2.5B,,"3,303",www.archrsc.com,,,,,1 314 9942897,,,$2.2B,,,,,,
Wolverine World Wide Inc,Consumer Packaged Goods,"United States of America, 9341 Courtland Dr, Rockford, Michigan, 49351",,,,$1.1B,,"4,400",www.wolverineworldwide.com,,,,,1 616 8665500,,,$2.4B,,,,,,
Semapa Sociedade de Investimento e Gestao SGPS SA,Paper and Packaging,"Portugal, Av. Fontes Pereira De Melo, 14-10, Lisboa, 1050-121",,,,$1.1B,,"5,921",www.semapa.pt,,,,,351 21 3184700,,,$2.5B,,,,,,
MRC Global Inc,Industrial Goods and Machinery,"United States of America, 909 Fannin, Suite 3100, 2 Houston Center, Texas, 77010",,,,$980.7M,,"2,600",www.mrcglobal.com,,,,,1 877 2947574,,,$2.7B,,,,,,
NEC Networks & System Integration Corp,Technology and Communications,"Japan, Iidabashi First Tower, 2-6-1, Koraku, Bunkyo-Ku, Tokyo, 112-8560",,,,$2.0B,,"7,675",www.nesic.co.jp,,,,,81 3 66997000,,,$2.8B,,,,,,
Itau Corpbanca,Financial Services,"Chile, 5537 Ave. Presidente Riesco, Las Condes",,,,$2.1B,,"3,811",ir.itau.cl,,,,,56 2 26878000,,,$2.8B,,,,,,
Sociedad Quimica y Minera de Chile SA,Metals and Mining,"Chile, El Trovador 4285, Santiago",,,,$23.4B,,"6,776",www.sqm.com,,,,,56 2 24252000,,,$2.9B,,,,,,
First Solar Inc,Alternative Energy,"United States of America, Suite 600, 350 West Washington Street, Tempe, Arizona, 85281",,,,$18.9B,,"4,800",www.firstsolar.com/en-Emea,,,,,1 602 4149300,,,$2.9B,,,,,,
Spectrum Brands Holdings Inc,Consumer Packaged Goods,"United States of America, 3001 Deming Way, Middleton, Wisconsin, 53562",,,,$2.5B,,"11,000",www.spectrumbrands.com,,,,,1 608 2753340,,,$3.1B,,,,,,
Xilinx Inc,Technology and Communications,"United States of America, 2100 Logic Drive, San Jose, California, 95124",,,,,,"4,890",www.xilinx.com,,,,,1 408 5597778,,,$3.1B,,,,,,
Ternium Argentina SA,Metals and Mining,"Argentina, Av. Savio S/N, San Nicolas, Buenos Aires, 2900",,,,$6.6B,,"5,400",ar.ternium.com,,,,,54 11 43182881,,,$3.4B,,,,,,
"Schnitzer Steel Industries, Inc.",Metals and Mining,"United States of America, Suite 350, 299 SW Clay Street, Portland, Oregon, 97201",,,,$926.0M,,"3,471",www.schnitzersteel.com,,,,,1 503 2249900,,,$3.5B,,,,,,
Shanghai Maling Aquarius Co Ltd,Consumer Packaged Goods,"China, No. 18, Jining Road, Shanghai, 200082",,,,$1.1B,,"13,704",www.shanghaimaling.com,,,,,86 21 22866016,,,$3.7B,,,,,,
Atlas Air Worldwide Holdings Inc,Transport and Logistics,"United States of America, 2000 Westchester Ave, Purchase, New York, 10577-2543",,,,$2.9B,,"4,056",www.atlasairworldwide.com,,,,,1 914 7018000,,,$4.0B,,,,,,
Jizhong Energy Resources Co Ltd,Metals and Mining,"China, No.191 Zhongxing West Avenue, Xingtai, Hebei, 054000",,,,$3.4B,,"40,383",www.jznygf.com,,,,,86 319 2098828,,,$4.9B,,,,,,
Twitter Inc,Media,"United States of America, Suite 900, 1355 Market Street, San Francisco, California, 94103",,,,,,"7,500",www.twitter.com,,,,,1 415 2229670,,,$5.1B,,,,,,
Taiwan Mobile Co Ltd,Technology and Communications,"Taiwan, 12f, No.88, Yanchang Road, Xinyi District, Taipei, 110",,,,$11.1B,,"6,529",www.taiwanmobile.com,,,,,886 2 66386888,,,$5.6B,,,,,,
Ingles Markets Inc,Retailing,"United States of America, Po Box 6676, Asheville, North Carolina, 28816",,,,$1.8B,,"26,000",www.ingles-markets.com,,,,,1 828 6692941,,,$5.7B,,,,,,
Shikoku Electric Power Co Inc,Power,"Japan, 2-5, Marunouchi, Takamatsu-Shi, Kagawa, 760-8573",,,,$1.2B,,"8,074",www.yonden.co.jp,,,,,81 87 8215061,,,$5.7B,,,,,,
Taiheiyo Cement Corp,Construction,"Japan, Bunkyo Garden Gate Tower, 1-1-1, Koishikawa, Bunkyo-Ku, Tokyo, 112-8503",,,,$2.0B,,"12,542",www.taiheiyo-cement.co.jp,,,,,81 3 58010333,,,$6.3B,,,,,,
Amundi SA,Financial Services,"France, 91-93 Boulevard Pasteur, Paris, 75015",,,,$13.5B,,"4,885",legroupe.amundi.com,,,,,33 1 43233030,,,$6.8B,,,,,,
PT Hanjaya Mandala Sampoerna Tbk,Consumer Packaged Goods,"Indonesia, Jl. Rungkut Industri Raya No. 18, Jakarta, 12190",,,,$6.3B,,"20,785",www.sampoerna.com,,,,,62 21 5151234,,,$6.9B,,,,,,
Wustenrot & Wurttembergische AG,Financial Services,"Germany, Gutenbergstrasse 30, Stuttgart, 70176",,,,$1.7B,,"6,259",www.ww-ag.com,,,,,49 711 6620,,,$8.4B,,,,,,
Cheniere Energy Partners LP,Energy and Utilities,"United States of America, Suite 800, 700 Milam St., Houston, Texas, 77002",,,,$26.4B,,"1,550",cqpir.cheniere.com,,,,,1 713 3755000,,,$9.4B,,,,,,
Union Bank of India,Financial Services,"India, Union Bank Bhavan, 239, Vidhan Bhavan Marg, Nariman Point, Mumbai, 400021",,,,$6.8B,,"75,201",www.unionbankofindia.co.in,,,,,91 22 22892000,,,$11.1B,,,,,,
Spotify Technology SA,Media,"Luxembourg, 42-44 Avenue De La Gare, Luxembourg, 1610",,,,$17.9B,,"6,617",www.spotify.com,,,,,46 70 2204607,,,$11.4B,,,,,,
Warner Bros. Discovery Inc,Media,"United States of America, 230 Park Avenue South, New York, 10003",,,,$30.6B,,"11,000",corporate.discovery.com,,,,,1 212 5485555,,,$12.2B,,,,,,
Nintendo Co Ltd,Technology and Communications,"Japan, 11-1, Kamitoba, Hokotate-Cho, Minami-Ku, Kyoto-Shi, 601-8501",,,,$56.8B,,"6,717",www.nintendo.co.jp,,,,,81 75 6629600,,,$15.1B,,,,,,
Kinder Morgan Inc,Energy and Utilities,"United States of America, Suite 1000, 1001 Louisiana Street, Houston, Texas, 77002",,,,$41.3B,,"10,529",www.kindermorgan.com,,,,,1 713 3699457,,,$16.6B,,,,,,
Safran SA,Aerospace and Defense,"France, 2 Boulevard Du General Martial Valin, Paris Cedex 15, 75724",,,,$59.6B,,"76,765",www.safran-group.com,,,,,33 1 40608080,,,$17.9B,,,,,,
Texas Instruments Inc,Technology and Communications,"United States of America, 12500 T I Blvd, Dallas, Texas, 75243-0592",,,,$157.7B,,"31,000",www.ti.com,,,,,1 972 9953773,,,$18.3B,,,,,,
Kajima Corp,Construction,"Japan, 1-3-1, Motoakasaka, Minato-Ku, Tokyo, 107-8388",,,,$6.1B,,"19,295",www.kajima.co.jp,,,,,81 3 55441111,,,$18.5B,,,,,,
Koninklijke Philips NV,Medical Equipment,"Netherlands, High Tech Campus 52, Eindhoven, 5656AG",,,,$14.6B,,"79,097",www.philips.com,,,,,31 20 5977777,,,$20.3B,,,,,,
Japan Tobacco Inc,Consumer Packaged Goods,"Japan, 4-1-1, Toranomon, Minato-Ku, Tokyo, 105-6927",,,,$40.5B,,"55,381",www.jti.co.jp,,,,,81 3 66362914,,,$20.7B,,,,,,
Hyundai Mobis Co Ltd,Automotive,"South Korea, 203, Teheran-Ro, Gangnam-Gu, Seoul, 06141",,,,$15.9B,,"8,569",www.mobis.co.kr,,,,,82 2 20185114,,,$36.4B,,,,,,
Deutsche Bank AG,Financial Services,"Germany, Taunusanlage 12, Frankfurt Am Main, 60325",,,,$26.8B,,"84,556",www.db.com,,,,,49 69 91000,,,$39.8B,,,,,,
International Business Machines Corp,Technology and Communications,"United States of America, 1 New Orchard Road, Armonk, New York, 10504",,,,$126.9B,,"307,600",www.ibm.com,,,,,1 914 4991900,,,$57.4B,,,,,,
Societe Generale SA,Financial Services,"France, 29 Boulevard Haussmann, Paris, 75009",,,,$22.7B,,"131,293",www.societegenerale.com,,,,,33 1 42142000,,,$59.9B,,,,,,
Accenture Plc,Technology and Communications,"Ireland, 1 Grand Canal Square, Grand Canal Harbour, Dublin, 2",,,,$183.0B,,"721,000",www.accenture.com,,,,,353 1 6462000,,,$61.6B,,,,,,
Christian Dior SE,Consumer Packaged Goods,"France, 30 Avenue Montaigne, Paris, 75008",,,,$153.0B,,"148,861",www.dior-finance.com,,,,,33 1 44132222,,,$75.9B,,,,,,
The Procter & Gamble Co,Consumer Packaged Goods,"United States of America, 1 Procter and Gamble Plaza, Cincinnati, Ohio, 45202",,,,$346.9B,,"106,000",pg.com,,,,,1 513 9831100,,,$80.2B,,,,,,
Postal Savings Bank of China Co Ltd,Financial Services,"China, No.3 Financial Avenue, Xicheng District, Beijing, 100808",,,,$65.7B,,"190,222",www.psbc.com,,,,,86 10 68858158,,,$81.0B,,,,,,
Bayerische Motoren Werke AG,Automotive,"Germany, Petuelring 130, Muenchen, 80788",,,,$64.9B,,"118,909",www.bmwgroup.com,,,,,49 89 3820,,,$131.5B,,,,,,
Microsoft Corp,Technology and Communications,"United States of America, 1 Microsoft Way, Redmond, Washington, 98052-6399",,,,"$1,757.8B",,"221,000",www.microsoft.com,,,,,1 425 8828080,,,$198.3B,,,,,,
ALL ABOUT CRAFTS TRADE LIMITED,99999 - Dormant Company,"C/O Potterycrafts Limited, Campbell Road, Stoke-On-Trent, ST4 4ET",Private limited Company,17 February 2003,,,,,,,,,,,,Dissolved,,,,,,,
ALL ABOUT CRAFTS LIMITED,99999 - Dormant Company,"Campbell Road, Stoke-On-Trent, Staffordshire, ST4 4ET",Private limited Company,17 September 1998,,,,,,,,,,,,Dissolved,,,,,,,
Amazon.com,"['eCommerce', 'Internet or Mobile App Based Business', 'Cloud Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Consulting Services', 'Consumer Services', 'Software Products', 'Retail']","Washington, USA, Northern America, Americas",,,Jeff Bezos,,5,"1,335,000",https://www.amazon.com/,,,,,,Andy Jassy,,"469,820 Million USD",,"420,550 Million USD","282,300 Million USD","138,240 Million USD","33,364 Million USD",Dec-2021
The Walt Disney Company,"['Communication Services', 'Broadcasting', 'Television Services', 'Media', 'Advertising', 'Consumer Services', ""TV's"", 'Entertainment']","California, USA, Northern America, Americas",,,"['Walt Disney', 'Roy O. Disney']",,30,"190,000",https://www.thewaltdisneycompany.com/,,,,,,Bob Chapek,,"67,410 Million USD",,"203,610 Million USD","110,540 Million USD","93,011 Million USD","1,990 Million USD",Sep-2021
Oracle Corporation,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'Software and IT Infrastructure']","California, USA, Northern America, Americas",,,"['Larry Ellison', 'Bob Miner', 'Ed Oates']",,49,"132,000",https://www.oracle.com/,,,,,,Safra A. Catz,,"42,440 Million USD",,"109,300 Million USD","115,060 Million USD","-5,768 Million USD","6,717 Million USD",For Year Ending  MAY-2022
Chevron Corporation,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Petrochemicals', 'Electricity Generation']","California, USA, Northern America, Americas",,,John D. Rockefeller's,,41,"42,595",https://www.chevron.com/,,,,,,Michael Wirth,,"155,600 Million USD",,"239,790 Million USD","108,100 Million USD","131,690 Million USD","15,620 Million USD",Dec-2021
China Construction Bank Corporation,"['Financial Services', 'Banking Services']","Beijing, China, Eastern Asia, Asia",,,,,69,"349,671",http://en.ccb.com,,,,,,,,"120,930 Million USD",,"4,419,600 Million USD","4,048,100 Million USD","371,510 Million USD","44,469 Million USD",For Year ending Dec-2021
At&t,"['Telecom', 'Communication Services', 'Internet Providers', 'Mobile Services', 'Fixed Line Service', 'Television Services', 'Media', 'Advertising', 'Utilities', 'Telecom Equipment']","Texas, USA, Northern America, Americas",,,"['Bell Telephone Company', 'Gardiner Greene Hubbard']",,67,"203,000",https://www.att.com/,,,,,,John T. Stankey,,"168,860 Million USD",,"551,620 Million USD","367,770 Million USD","183,860 Million USD","19,870 Million USD",Dec-2021
Texas Instruments,"['Technology', 'Semiconductors', 'Electronics', 'Processors / Chips', 'Sensors']","Texas, USA, Northern America, Americas",,,"['Patrick E. Haggerty', 'Eugene McDermott', 'Cecil Howard Green', 'J. Erik Jonsson']",,77,"31,000",http://www.ti.com/,,,,,,Richard K. Templeton,,"18,344 Million USD",,"24,676 Million USD","11,343 Million USD","13,333 Million USD","7,769 Million USD",Dec-2021
Truist Financial Corporation,"['Financial Services', 'Banking Services', 'Insurance', 'Mortgage']","North Carolina, USA, Northern America, Americas",,,Thomas Jefferson Hadley,,187,"52,641",https://www.bbt.com/,,,,,,William H. Bill Rogers Jr,,"22,259 Million USD",,"541,240 Million USD","471,970 Million USD","69,271 Million USD","6,033 Million USD",For Year ending Dec-2021
Psbc (postal Savings Bank Of China),"['Financial Services', 'Banking Services']","China, Eastern Asia, Asia",,,,,209,"194,527",http://www.psbc.com/en/,,,,,,Lv Jiajin,,"31,817 Million USD",,"1,783,600 Million USD","1,678,100 Million USD","105,540 Million USD","10,855 Million USD",For Year ending Dec-2021
Workday,"['Technology', 'Software and IT', 'Software Products', 'Artificial Intelligence']","California, USA, Northern America, Americas",,,"['Aneel Bhusri', 'David Duffield']",,288,"12,500",https://www.workday.com,,,,,,Chano Fernandez,,"5,138 Million USD",,"10,498 Million USD","5,963 Million USD","4,535 Million USD",29 Million USD,For Year Ending  JAN-2022
Xiaomi Corporation,"['Technology', 'Electronics', 'Mobiles & Accessories', ""TV's"", 'Laptops', 'Tablets', 'Consumer Electronics']","Beijing, China, Eastern Asia, Asia",,,"['Lei Jun', 'Lin Bin', 'Li Wanqiang', 'Wang Chuan']",,312,"33,427",https://www.mi.com,,,,,,Lei Jun,,"51,577 Million USD",,"46,013 Million USD","24,457 Million USD","26,269 Million USD","3,038 Million USD",Dec-2021
General Dynamics Corporation,"['Industries', 'Aerospace Products', 'Defense Products', 'Aeroplane', 'Weapons', 'Security Systems and Solutions', 'Weapons', 'Marine Systems', 'Marine Transportation', 'Transportation', 'Capital Goods', 'Aerospace and Defense', 'Space Products']","Virginia, USA, Northern America, Americas",,,John Philip Holland,,307,"103,100",https://www.gd.com/,,,,,,Phebe Novakovic,,"38,469 Million USD",,"50,073 Million USD","32,432 Million USD","17,641 Million USD","3,257 Million USD",Dec-2021
Nintendo,"['Communication Services', 'Electronics', 'Technology Hardware and Instruments', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Technology', 'Gaming']","Kyoto, Japan, Eastern Asia, Asia",,,Fusajiro Yamauchi,,343,"6,574",https://www.nintendo.com/,,,,,,Shuntaro Furukawa,,"12,371 Million USD",,"19,427 Million USD","4,328 Million USD","15,100 Million USD","3,486 Million USD",For Year Ending  MAR-2022
Safran,"['Industries', 'Aerospace Products', 'Defense Products', 'Rockets', 'Satellites', 'Drones', 'Engineering Products', 'Technology', 'Machinery Manufacturing', 'Aerospace and Defense', 'Manufacturing', 'Space Products']","Paris, France, Western Europe, Europe",,,Marcel Mome,,345,"76,800",https://www.safran-group.com/,,,,,,Olivier Andries,,"16,677 Million USD",,"45,971 Million USD","31,820 Million USD","14,151 Million USD",47 Million USD,Dec-2021
Monster Beverage Corporation,"['Consumer Defensive', 'Non-Alcoholic Beverages', 'Beverages', 'FMCG', 'Consumer Non Durables']","California, USA, Northern America, Americas",,,Hubert Hansen,,388,"4,092",https://www.monsterbevcorp.com/,,,,,,Hilton Schlosberg,,"5,541 Million USD",,"7,804 Million USD","1,237 Million USD","6,566 Million USD","1,377 Million USD",Dec-2021
Xilinx,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Processors / Chips']","California, USA, Northern America, Americas",,,,,403,"4,891",https://www.xilinx.com/,,,,,,Victor Peng,,"3,160 Million USD",,,,,793 Million USD,Mar-2020
Muyuan Foods,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'FMCG', 'Farming / Seeds / Milling']","China, Eastern Asia, Asia",,,,,420,"50,319",http://www.muyuanfoods.com/,,,,,,,,"11,480 Million USD",,"25,796 Million USD","15,813 Million USD","9,983 Million USD","1,005 Million USD",For Year ending Dec-2021
Kraft Heinz Company,"['Consumer Defensive', 'Food Products', 'Food Service', 'Non-Alcoholic Beverages', 'FMCG', 'Consumer Non Durables', 'Beverages', 'Package Foods']","Illinois, USA, Northern America, Americas",,,"['Miguel Patricio', 'Kraft Foods']",,431,"36,000",http://www.kraftheinzcompany.com/,,,,,,Miguel Patricio,,"26,042 Million USD",,"93,394 Million USD","44,096 Million USD","49,298 Million USD","1,012 Million USD",Dec-2021
Nu Holdings Ltd.,"['Financial Services', 'Technology']","Brazil, Americas",,,,,464,,,,,,,,David Velez Osorno,,"1,698 Million USD",,"19,858 Million USD","15,417 Million USD","4,441 Million USD",-164 Million USD,Dec-2021
Spotify Technology,"['Communication Services', 'Media', 'Internet or Mobile App Based Business', 'Broadcasting', 'Music', 'Consumer Services', 'Advertising']","Stockholm, Sweden, Northern Europe, Europe",,,,,471,"6,617",https://www.spotify.com,,,,,,Daniel Ek,,"10,654 Million USD",,"7,901 Million USD","5,566 Million USD","2,335 Million USD",-37 Million USD,Dec-2021
Kinder Morgan,"['Energy', 'Oil and Gas', 'Infrastructure', 'Gas Utilities', 'Utilities']","Texas, USA, Northern America, Americas",,,"['Richard Kinder', 'William V. Morgan']",,518,"10,529",https://www.kindermorgan.com/,,,,,,Steven J. Kean,,"16,610 Million USD",,"70,416 Million USD","39,593 Million USD","30,823 Million USD","1,784 Million USD",Dec-2021
Ashtead Group,"['Industries', 'Construction Equipment', 'Rent / Lease Services']","London, UK, Northern Europe, Europe",,,,,561,"19,386",http://www.ashtead-group.com/,,,,,,Brendan Horgan,,"7,962 Million USD",,"15,290 Million USD","10,256 Million USD","5,033 Million USD","1,251 Million USD",For Year Ending  APR-2022
Japan Tobacco,"['Consumer Defensive', 'Cigarettes', 'Tobacco Products', 'FMCG', 'Tobacco and Cigarette', 'Pharmaceutical', 'Food Products']","Tokyo, Japan, Eastern Asia, Asia",,,"['Government of Japan', 'Douglas MacArthur']",,579,"58,300",https://www.jt.com/,,,,,,Eddy Pirard,,"19,064 Million USD",,"47,349 Million USD","24,313 Million USD","23,036 Million USD","2,776 Million USD",Dec-2021
Philips,"['Healthcare', 'Electronics', 'Medical Equipment', 'Lighting Products', 'Audio & Video Systems', 'Energy', 'Consumer Electronics', 'Technology', 'Health Care Diagnostics']","Amsterdam, Netherlands, Western Europe, Europe",,,"['Gerard Philips', 'Frederik Philips']",,624,"81,592",https://www.philips.com/global,,,,,,Frans van Houten,,"17,151 Million USD",,"30,952 Million USD","16,482 Million USD","14,470 Million USD","3,318 Million USD",For Year ending Dec-2021
